,name,location,at_student_home,at_online,at_teacher_home,rate,review,price,languages,picture,seniority,trusted_teacher,Bachelor's degree,Master's degree,Other studies,PhD,Student,Teach Arabic,Teach Business,Teach Computers,Teach English,Teach French,Teach Humanities,Teach Language Skills,Teach Math,Teach Music,Teach Other Languages,Teach Sciences,Teach Spanish,Teach Sports,Teach Telecommunications,Tech Arts,region,0-3,13-17,18-64,4-6,65+,7-12,Advanced,Beginner,Intermediate,region_code,location_code
3926,Matteo,Belgium,1.0,1,1.0,5.0,3,177.56,3.0,0,6,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7
3927,Alexandra,France,1.0,1,0.0,5.0,2,135.1,2.0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,14
3928,Vivek,Belgium,0.0,1,1.0,4.0,2,108.08,1.0,0,4,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7
3929,Anhelina,Spain,1.0,1,0.0,0.0,0,69.48,4.0,0,0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,13
3930,Juliette,Belgium,1.0,1,1.0,4.6,5,111.94,3.0,0,3,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7
3931,Davina,United Kingdom,0.0,1,0.0,5.0,1,207.56,1.0,0,0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Central Europe,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7,15
3932,Nada,Egypt,0.0,1,1.0,5.0,1,46.16,2.0,0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,West Africa,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,18
3933,Jaume,Belgium,1.0,1,0.0,5.0,1,135.1,4.0,0,1,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,7
3934,Sarang,South Korea,0.0,1,1.0,5.0,1,160.28,2.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,East Asia,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4,66
3935,Maria,Netherlands,0.0,1,0.0,5.0,1,135.1,3.0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
3936,Gustave,Belgium,1.0,1,1.0,0.0,0,69.48,3.0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,West Europe,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7
3937,Maxime,France,0.0,1,0.0,5.0,2,169.84,2.0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,14
3938,Robert,Belgium,0.0,1,0.0,4.15,7,135.1,1.0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,7
3939,Brady,Netherlands,1.0,1,0.0,0.0,0,81.06,4.0,0,2,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1
3940,Galina,United Kingdom,1.0,1,1.0,0.0,0,135.36,3.0,0,3,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Central Europe,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7,15
3941,Beyza,Netherlands,1.0,1,0.0,5.0,1,92.64,2.0,0,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,West Europe,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1,1
